city,town,sect,number
苗栗縣,通霄鎮,大坪頂段,140-18
苗栗縣,通霄鎮,大坪頂段,140-30
苗栗縣,通霄鎮,大坪頂段,323
苗栗縣,苑裡鎮,南勢林坑段,1061
苗栗縣,苑裡鎮,南勢林坑段,1068
苗栗縣,苑裡鎮,南勢林坑段,494
苗栗縣,通霄鎮,北勢窩段,538
苗栗縣,通霄鎮,北勢窩段,539
苗栗縣,通霄鎮,北勢窩段,539-1
苗栗縣,通霄鎮,北勢窩段,540
苗栗縣,通霄鎮,北勢窩段,547
