sect,number,city,town,Latitude,Longitude
大坪頂段 ,140-18 ,苗栗縣,通霄鎮,24.265009,120.42189
大坪頂段,140-30 ,苗栗縣,通霄鎮,24.264969,120.421881
南勢林坑段,1061,苗栗縣,苑裡鎮,24.37643,120.70876
南勢林坑段,1068,苗栗縣,苑裡鎮,24.223315,120.423207
南勢林坑段,494,苗栗縣,苑裡鎮,24.231813,120.42894
北勢窩段,538,苗栗縣,通霄鎮,24.51199,120.7094
北勢窩段,539,苗栗縣,通霄鎮,24.51185,120.7089
北勢窩段,539-1,苗栗縣,通霄鎮,24.51149,120.7092
,,,,,
